Segment,Scores,Index
Champions,555,1
Champions,554,1
Champions,544,1
Champions,545,1
Champions,454,1
Champions,455,1
Champions,445,1
Loyal,543,2
Loyal,444,2
Loyal,435,2
Loyal,355,2
Loyal,354,2
Loyal,345,2
Loyal,344,2
Loyal,335,2
Potential Loyalist,553,3
Potential Loyalist,551,3
Potential Loyalist,552,3
Potential Loyalist,541,3
Potential Loyalist,542,3
Potential Loyalist,533,3
Potential Loyalist,532,3
Potential Loyalist,531,3
Potential Loyalist,452,3
Potential Loyalist,451,3
Potential Loyalist,442,3
Potential Loyalist,441,3
Potential Loyalist,431,3
Potential Loyalist,453,3
Potential Loyalist,433,3
Potential Loyalist,432,3
Potential Loyalist,423,3
Potential Loyalist,353,3
Potential Loyalist,352,3
Potential Loyalist,351,3
Potential Loyalist,342,3
Potential Loyalist,341,3
Potential Loyalist,333,3
Potential Loyalist,323,3
Promising,525,4
Promising,524,4
Promising,523,4
Promising,522,4
Promising,521,4
Promising,515,4
Promising,514,4
Promising,513,4
Promising,425,4
Promising,424,4
Promising,413,4
Promising,414,4
Promising,415,4
Promising,315,4
Promising,314,4
Promising,313,4
New Customers,512,5
New Customers,511,5
New Customers,422,5
New Customers,421,5
New Customers,412,5
New Customers,411,5
New Customers,311,5
Need Attention,535,6
Need Attention,534,6
Need Attention,443,6
Need Attention,434,6
Need Attention,343,6
Need Attention,334,6
Need Attention,325,6
Need Attention,324,6
About To Sleep,331,7
About To Sleep,321,7
About To Sleep,312,7
About To Sleep,221,7
About To Sleep,213,7
About To Sleep,231,7
About To Sleep,241,7
About To Sleep,251,7
At Risk,255,8
At Risk,254,8
At Risk,245,8
At Risk,244,8
At Risk,253,8
At Risk,252,8
At Risk,243,8
At Risk,242,8
At Risk,235,8
At Risk,234,8
At Risk,225,8
At Risk,224,8
At Risk,153,8
At Risk,152,8
At Risk,145,8
At Risk,143,8
At Risk,142,8
At Risk,135,8
At Risk,134,8
At Risk,133,8
At Risk,125,8
At Risk,124,8
Cannot Lose Them,155,9
Cannot Lose Them,154,9
Cannot Lose Them,144,9
Cannot Lose Them,214,9
Cannot Lose Them,215,9
Cannot Lose Them,115,9
Cannot Lose Them,114,9
Cannot Lose Them,113,9
Hibernating customers,332,10
Hibernating customers,322,10
Hibernating customers,233,10
Hibernating customers,232,10
Hibernating customers,223,10
Hibernating customers,222,10
Hibernating customers,132,10
Hibernating customers,123,10
Hibernating customers,122,10
Hibernating customers,212,10
Hibernating customers,211,10
Lost customers,111,11
Lost customers,112,11
Lost customers,121,11
Lost customers,131,11
Lost customers,141,11
Lost customers,151,11
